date|description|images|title|link|title_state|description_state
2017-12-16|Wspaniale zachowany egzemplarz. Delikatna patyna.\Stempel zwykły.\Parchimowicz 115a\\Stan zachowania NGC AU55\Waga\Średnica 33 mm|['https://archiwum.niemczyk.pl/images/auction/orginal/1511170321_1489%20K%20_2_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1509698189_1489%20K%20_3_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1509698189_1489%20K%20_1_.jpg']|II RP. 5 złotych 1930 Sztandar NGC AU55|https://archiwum.niemczyk.pl/auction/24/844/ii-rp-5-zlotych-1930-sztandar-ngc-au55|NGC AU55|NGC AU55
2017-12-16|Piękny egzemplarz, intensywny połysk menniczy i wspaniale zachowane detale. Rzadszy w takim stanie zachowania.\Fischer OB 014\\Stan zachowania NGC AU 58\Waga\Średnica|['https://archiwum.niemczyk.pl/images/auction/orginal/1509716306_279%20K%20_5_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1509716306_279%20K%20_4_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1509716306_279%20K%20_2_.jpg']|II RP. 5 złotych 1930 Sztandar NGC AU58|https://archiwum.niemczyk.pl/auction/24/845/ii-rp-5-zlotych-1930-sztandar-ngc-au58|NGC AU58|NGC AU 58
2017-12-14 (20:12)|  Numer:\-1257- 247\Nazwa:\II RP 5 złotych 1930 Sztandar st. 3-\Opis:\Patyna. Rysy.\Waga:\17,92 g Ag .750\Literatura:\Fischer: OB 014\ |['https://archiwum.niemczyk.pl/images/201712/7081237173_orginal.jpg', 'https://archiwum.niemczyk.pl/images/201712/7081237173_1_orginal.jpg']|II RP 5 złotych 1930 Sztandar st. 3-|https://archiwum.niemczyk.pl/page/7081237173/ii-rp-5-zlotych-1930-sztandar-st-3|3-|3-
2017-11-29 (18:11)|  Numer:\-112- 565 WP\Nazwa:\Polska II RP 5 złotych 1930 Sztandar st. 3+\Opis:\Bardzo ładny egzemplarz. Kolorowa patyna.\Waga:\17,95 g Ag .750\Literatura:\Fischer OB 014\\Moneta wystawiona ponownie, ponieważ kupujący nie sfinalizował transakcji.|['https://archiwum.niemczyk.pl/images/201711/7056810652_orginal.jpg', 'https://archiwum.niemczyk.pl/images/201711/7056810652_1_orginal.jpg']|II RP 5 złotych 1930 Sztandar st. 3+|https://archiwum.niemczyk.pl/page/7056810652/ii-rp-5-zlotych-1930-sztandar-st-3|3+|3+
2017-11-29 (18:11)|  Numer:\-112- 2034 WP\Nazwa:\Polska II RP 5 złotych 1930 Sztandar st.3+\Opis:\Ładny egzemplarz. Kolorowa patyna.\Waga:\17,95 g Ag .750\Literatura:\Fischer: OB 014\\Moneta wystawiona ponownie, ponieważ kupujący nie sfinalizował transakcji.|['https://archiwum.niemczyk.pl/images/201711/7056804300_orginal.jpg', 'https://archiwum.niemczyk.pl/images/201711/7056804300_1_orginal.jpg']|II RP 5 złotych 1930 Sztandar st.3+|https://archiwum.niemczyk.pl/page/7056804300/ii-rp-5-zlotych-1930-sztandar-st3|3+|3+
2017-11-27 (19:11)|  Numer:\-116- 106\Nazwa:\Polska II RP 5 złotych 1930 Sztandar st.2+\Opis:\Wspaniale zachowany egzemplarz, kolorowa patyna.\Waga:\18,01 g Ag .750\Literatura:\Fischer OB 014\ |['https://archiwum.niemczyk.pl/images/201711/7050186757_orginal.jpg', 'https://archiwum.niemczyk.pl/images/201711/7050186757_1_orginal.jpg']|II RP 5 złotych 1930 Sztandar st.2+|https://archiwum.niemczyk.pl/page/7050186757/ii-rp-5-zlotych-1930-sztandar-st2|2+|2+
2017-10-25 (20:10)|  Numer:\-112-2034\Nazwa:\Polska II RP 5 złotych 1930 Sztandar st.3+\Opis:\Ładny egzemplarz. Kolorowa patyna.\Waga:\17,95 g Ag .750\Literatura:\Fischer: OB 014\ |['https://archiwum.niemczyk.pl/images/201710/7004998329_orginal.jpg', 'https://archiwum.niemczyk.pl/images/201710/7004998329_1_orginal.jpg']|II RP 5 złotych 1930 Sztandar st.3+|https://archiwum.niemczyk.pl/page/7004998329/ii-rp-5-zlotych-1930-sztandar-st3|3+|3+
2017-10-25 (18:10)|  Numer:\-112-565\Nazwa:\Polska II RP 5 złotych 1930 Sztandar st. 3+\Opis:\Bardzo ładny egzemplarz. Kolorowa patyna.\Waga:\17,95 g Ag .750\Literatura:\Fischer OB 014\ |['https://archiwum.niemczyk.pl/images/201710/7004831278_orginal.jpg', 'https://archiwum.niemczyk.pl/images/201710/7004831278_1_orginal.jpg']|II RP 5 złotych 1930 Sztandar st. 3+|https://archiwum.niemczyk.pl/page/7004831278/ii-rp-5-zlotych-1930-sztandar-st-3|3+|3+
2017-10-21|Jedna z rzadszych obiegowych monet II RP wybita stemplem głębokim.\Bardzo ładny egzemplarz, delikatnie przetarty. Ryski. Wspaniale zachowane detale.\Parchimowicz 115a\\\Stan zachowania 2\Waga 18,04 g Ag\Średnica 33 mm|['https://archiwum.niemczyk.pl/images/auction/orginal/aws_1503665095202.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/aws_1503665095524.jpg']|II RP. 5 złotych 1930 Sztandar, stempel głęboki|https://archiwum.niemczyk.pl/auction/18/600/ii-rp-5-zlotych-1930-sztandar-stempel-gleboki||2
2017-10-19 (19:10)|  Numer:\-112- 728 WP\Nazwa:\II RP 5 złotych 1930 Sztandar st. 2-\Opis:\Minimalne mikroryski.\Rewers ze sztandarem idealnie zachowany.\Waga:\17,95 g Ag .750\Literatura:\Fischer: OB 014|['https://archiwum.niemczyk.pl/images/201710/6998165419_orginal.jpg', 'https://archiwum.niemczyk.pl/images/201710/6998165419_1_orginal.jpg']|II RP 5 złotych 1930 Sztandar st. 2-|https://archiwum.niemczyk.pl/page/6998165419/ii-rp-5-zlotych-1930-sztandar-st-2|2-|2-
