date|description|id|images|link|title
2020-07-12 (20:07)|II RP 10 złotych 1939 Piłsudski NGC AU58\Waga: srebro Ag .750\Fischer OB 023|42|['https://archiwum.niemczyk.pl/images/202007/611bb9634b44b62ee256fbd6e654_orginal.jpg', 'https://archiwum.niemczyk.pl/images/202007/0cee9b974bef8066b82f067eedfc_orginal.jpg', 'https://archiwum.niemczyk.pl/images/202007/055b260e46559e539e76b1e40356_orginal.jpg']|https://archiwum.niemczyk.pl/page/9451277318/ii-rp-10-zlotych-1939-pilsudski-ngc-au58|II RP 10 złotych 1939 Piłsudski NGC AU58
2020-06-21|Menniczej świeżości egzemplarz. Ostre szczegóły reliefu. Połysk.\Parchimowicz 124f\\Stan zachowania 1-\Waga 22,02 g Ag .750\Średnica|43|['https://archiwum.niemczyk.pl/images/auction/orginal/1590152209_746%20_2__S.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1590152209_746%20_1__S.jpg']|https://archiwum.niemczyk.pl/auction/66/1249/ii-rp-10-zlotych-1939-pilsudski|II RP. 10 złotych 1939 Piłsudski
2020-06-21|Menniczej świeżości egzemplarz. Połysk. Subtelna patyna.\Parchimowicz 124f\\Stan zachowania 1-\Waga 21,97 g Ag .750\Średnica|44|['https://archiwum.niemczyk.pl/images/auction/orginal/1590152344_659%20_2__S.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1590152344_659%20_3__S.jpg']|https://archiwum.niemczyk.pl/auction/66/1250/ii-rp-10-zlotych-1939-pilsudski|II RP. 10 złotych 1939 Piłsudski
2020-06-21|Rzadki rocznik.\Atrakcyjny egzemplarz. Połysk\Parchimowicz 124f\\Stan zachowania 2/2+\Waga 21,95 g Ag .750\Średnica|45|['https://archiwum.niemczyk.pl/images/auction/orginal/1590152539_341%20_2__S.JPG', 'https://archiwum.niemczyk.pl/images/auction/orginal/1590152539_341%20_1__S.jpg']|https://archiwum.niemczyk.pl/auction/66/1251/ii-rp-10-zlotych-1939-pilsudski|II RP. 10 złotych 1939 Piłsudski
2020-06-21|Ładny egzemplarz. Stara, szlachetna patyna.\Parchimowicz 124f\\Stan zachowania 2-\Waga 22,04 g Ag .750\Średnica|46|['https://archiwum.niemczyk.pl/images/auction/orginal/1590152655_24_S.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1590152655_24a_S.jpg']|https://archiwum.niemczyk.pl/auction/66/1252/ii-rp-10-zlotych-1939-pilsudski|II RP. 10 złotych 1939 Piłsudski
2020-06-21|Pięknie zachowana moneta bez noty numerycznej.\Parchimowicz 124f\\Stan zachowania PGGS Genuine\Waga\Średnica|47|['https://archiwum.niemczyk.pl/images/auction/orginal/1590152735_1164K%20_1_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1590152735_1164K%20_3_.JPG', 'https://archiwum.niemczyk.pl/images/auction/orginal/1590152735_1164K%20_2_.jpg']|https://archiwum.niemczyk.pl/auction/66/1253/ii-rp-10-zlotych-1939-pilsudski-pggs-genuine|II RP 10 złotych 1939 Piłsudski PGGS Genuine
2020-06-21|Patyna. Przyzwoicie zachowany egzemplarz.\Parchimowicz 124f\\Stan zachowania 2-\Waga 22,01 g Ag .750\Średnica|48|['https://archiwum.niemczyk.pl/images/auction/orginal/1590152851_89K%20_1_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1590152851_89K%20_2_.JPG']|https://archiwum.niemczyk.pl/auction/66/1254/ii-rp-10-zlotych-1939-pilsudski|II RP 10 złotych 1939 Piłsudski
2020-06-21|Bardzo ładny egzemplarz, zachowany połysk menniczy, wyraźne detale. Delikatna patyna. Rzadszy w takim stanie zachowania.\Parchimowicz 124f\\Stan zachowania NGC MS61\Waga\Średnica|49|['https://archiwum.niemczyk.pl/images/auction/orginal/1590405815_672%20_6__S.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1590405815_672%20_4__S.JPG', 'https://archiwum.niemczyk.pl/images/auction/orginal/1590405815_672%20_5__S.jpg']|https://archiwum.niemczyk.pl/auction/66/1245/ii-rp-10-zlotych-1939-pilsudski-ngc-ms61|II RP. 10 złotych 1939 Piłsudski NGC MS61
2020-06-21|Pięknie zachowany egzemplarz. Mocny połysk menniczy. Złotawa patyna.\Parchimowicz 124f\\Stan zachowania 1-\Waga 21,97 g Ag .750\Średnica|50|['https://archiwum.niemczyk.pl/images/auction/orginal/1590405915_25_S.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1590405915_25a_S.jpg']|https://archiwum.niemczyk.pl/auction/66/1246/ii-rp-10-zlotych-1939-pilsudski|II RP. 10 złotych 1939 Piłsudski
2020-06-21|Dużo połysku, patyna.\Parchimowicz 124f\\Stan zachowania 2/2+\Waga 22,02 g Ag .750\Średnica|51|['https://archiwum.niemczyk.pl/images/auction/orginal/1590151700_747%20_1__S.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1590151700_747%20_2__S.jpg']|https://archiwum.niemczyk.pl/auction/66/1247/ii-rp-10-zlotych-1939-pilsudski|II RP. 10 złotych 1939 Piłsudski
